run_id,t_s,method,scenario,disturbance,init_variant,vehicle,s_m,y_m,v_mps,a_mps2,q,qdot_nominal_s-1,qdot_base_s-1,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,z_self,z_other,g_FR_m,target_gap_m,gap_error_m,lower_m,upper_m,interval_width_m,s_ref_m,target_time_s,merge_progress,task_phase,a_nom_mps2,a_safety_target_mps2,a_actual_mps2,jerk_mps3,nominal_actual_difference_mps2,safety_correction_mps2,action_correction_reason,F_disturbance_mps2
A_ample_none_i0,0.55,A,ample,none,0,F,110.1291190861027,0.0,18.326754816666874,-0.2900695500436999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.478764904601984,32.4,-1.9212350953980142,87.88292879498489,95.77217912073631,7.889250325751419,,,0.0,PREPARE,-0.2777415941668428,-0.2777415941668428,-0.2777415941668428,0.24655911753714177,0.0,0.0,,0.0
A_ample_none_i0,0.55,A,ample,none,0,B,47.9321076764369,0.0,18.113557508693802,0.1700621551189839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.478764904601984,32.4,-1.9212350953980142,87.88292879498489,95.77217912073631,7.889250325751419,,,0.0,PREPARE,0.16069548599181116,0.16069548599181116,0.16069548599181116,-0.18733338254345477,0.0,0.0,,0.0
A_ample_none_i0,0.6,A,ample,none,0,M,87.09896537380102,3.6,21.526100864233918,-1.303123593401645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5047950973461,32.4,-1.895204902653898,88.76718513446431,96.71097434746147,7.94378921299716,92.7390797409629,,0.0,PREPARE,-1.3056319267498826,-1.3056319267498826,-1.3056319267498826,-0.05016666696475269,0.0,0.0,,0.0
A_ample_none_i0,0.6,A,ample,none,0,R,75.74031455259724,0.0,17.7910588053345,-0.32594466383447723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5047950973461,32.4,-1.895204902653898,88.76718513446431,96.71097434746147,7.94378921299716,92.7390797409629,,0.0,PREPARE,-0.31208122554368656,-0.31208122554368656,-0.31208122554368656,0.2772687658158135,0.0,0.0,,0.0
A_ample_none_i0,0.6,A,ample,none,0,F,111.04510964994334,0.0,18.31286773695853,-0.2777415941668428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5047950973461,32.4,-1.895204902653898,88.76718513446431,96.71097434746147,7.94378921299716,,,0.0,PREPARE,-0.26593757641475085,-0.26593757641475085,-0.26593757641475085,0.23608035504183889,0.0,0.0,,0.0
A_ample_none_i0,0.6,A,ample,none,0,B,48.83798642122908,0.0,18.121592282993394,0.16069548599181116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5047950973461,32.4,-1.895204902653898,88.76718513446431,96.71097434746147,7.94378921299716,,,0.0,PREPARE,0.15160126615718322,0.15160126615718322,0.15160126615718322,-0.18188439669255874,0.0,0.0,,0.0
A_ample_none_i0,0.65,A,ample,none,0,M,88.17363837710427,3.6,21.460819267896422,-1.3056319267498826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.53094322348873,32.4,-1.8690567765112682,89.6508865517521,97.64913387105702,7.998247319304923,93.65001021140455,,0.0,EXECUTE,-1.3073986021627833,-1.3073986021627833,-1.3073986021627833,-0.03533350825801307,0.0,0.0,,0.0
A_ample_none_i0,0.65,A,ample,none,0,R,76.62947739133203,0.0,17.775454744057317,-0.31208122554368656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.53094322348873,32.4,-1.8690567765112682,89.6508865517521,97.64913387105702,7.998247319304923,93.65001021140455,,0.0,EXECUTE,-0.29826886758448357,-4.0,-0.43708122554368656,-2.5,-0.138812357959203,-3.7017311324155164,merge_rear_gap;jerk_limit,0.0
A_ample_none_i0,0.65,A,ample,none,0,F,111.96042061482076,0.0,18.29957085813779,-0.26593757641475085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.53094322348873,32.4,-1.8690567765112682,89.6508865517521,97.64913387105702,7.998247319304923,,,0.0,EXECUTE,-0.25463522941712247,-0.25463522941712247,-0.25463522941712247,0.22604693995256775,0.0,0.0,,0.0
A_ample_none_i0,0.65,A,ample,none,0,B,49.74425553696145,0.0,18.129172346301253,0.15160126615718322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.53094322348873,32.4,-1.8690567765112682,89.6508865517521,97.64913387105702,7.998247319304923,,,0.0,EXECUTE,0.1427868527555852,0.1427868527555852,0.1427868527555852,-0.17628826803196052,0.0,0.0,,0.0
