run_id,method,ablation,scenario,disturbance,init_variant,stage,speed_deficit_distance_m
S2_collaborative_none_i0_no_partner,S2,no_partner,collaborative,none,0,failure_handling,0
S2_ample_none_i0_no_partner,S2,no_partner,ample,none,0,prepare,0.0
S2_ample_none_i0_no_partner,S2,no_partner,ample,none,0,execute,0.0
S2_ample_none_i0_no_partner,S2,no_partner,ample,none,0,handoff,0.013142247384420536
S2_ample_none_i0_no_partner,S2,no_partner,ample,none,0,normal_follow,2.196996216765408
S2_ample_none_i0_no_partner,S2,no_partner,ample,none,0,failure_handling,0
S2_collaborative_none_i0_no_feedback,S2,no_feedback,collaborative,none,0,prepare,0.9952249269005776
S2_collaborative_none_i0_no_feedback,S2,no_feedback,collaborative,none,0,execute,18.041391938125336
S2_collaborative_none_i0_no_feedback,S2,no_feedback,collaborative,none,0,handoff,13.206474799779192
S2_collaborative_none_i0_no_feedback,S2,no_feedback,collaborative,none,0,normal_follow,47.33197699959885
S2_collaborative_none_i0_no_feedback,S2,no_feedback,collaborative,none,0,failure_handling,0
S2_ample_none_i0_no_feedback,S2,no_feedback,ample,none,0,prepare,0.15707073632152557
S2_ample_none_i0_no_feedback,S2,no_feedback,ample,none,0,execute,2.3845279625283173
